,month,repository_name,repository_url,new_stars,repository_created_at,repository_language,t_stars
178,2013-02,jquery.payment,https://github.com/stripe/jquery.payment,1011,2012-12-23 08:20:09,CoffeeScript,1171.0
179,2013-02,learnGitBranching,https://github.com/pcottle/learnGitBranching,915,2012-08-13 22:36:09,JavaScript,935.0
180,2013-01,Parsley.js,https://github.com/guillaumepotier/Parsley.js,2111,2012-12-16 14:52:04,JavaScript,2340.0
181,2013-01,bootstrap,https://github.com/twitter/bootstrap,2019,2011-07-29 21:19:00,JavaScript,44127.0
182,2013-01,Font-Awesome,https://github.com/FortAwesome/Font-Awesome,1521,2012-02-17 14:19:43,JavaScript,11147.0
183,2013-01,howdoi,https://github.com/gleitz/howdoi,1158,2012-11-22 08:49:24,Python,1221.0
184,2013-01,junior,https://github.com/justspamjustin/junior,1117,2012-12-27 15:38:20,JavaScript,1135.0
185,2013-01,d3,https://github.com/mbostock/d3,1033,2010-09-27 17:22:42,JavaScript,12148.0
186,2013-01,elusive-iconfont,https://github.com/aristath/elusive-iconfont,987,2012-12-22 03:53:35,JavaScript,1561.0
187,2013-01,html5-boilerplate,https://github.com/h5bp/html5-boilerplate,868,2010-01-24 18:03:24,JavaScript,17993.0
188,2013-01,angular.js,https://github.com/angular/angular.js,848,2010-01-06 00:34:37,JavaScript,6355.0
189,2013-01,jquery,https://github.com/jquery/jquery,832,2009-04-03 15:20:14,JavaScript,18809.0
190,2012-12,better_errors,https://github.com/charliesome/better_errors,2087,2012-12-08 11:02:18,Ruby,2374.0
191,2012-12,bootstrap,https://github.com/twitter/bootstrap,1732,2011-07-29 21:19:00,JavaScript,42393.0
192,2012-12,nui,https://github.com/tombenner/nui,1265,2012-11-26 04:07:08,Objective-C,1337.0
193,2012-12,analytics.js,https://github.com/segmentio/analytics.js,1121,2012-06-18 05:38:24,JavaScript,1269.0
194,2012-12,Font-Awesome,https://github.com/FortAwesome/Font-Awesome,1079,2012-02-17 14:19:43,JavaScript,9690.0
195,2012-12,d3,https://github.com/mbostock/d3,981,2010-09-27 17:22:42,JavaScript,11161.0
